Instance,Nodes,Failures,Solutions,Completed,TotalExecutionTimeMillis,JavaExecutionTimeMillis,PythonAIExecutionTimeMillis,NumberOfCallsToPropagate,Threshold
AllInterval-009,567158,283460,120,true,4612,4612,0,1448837,0.00
SchurrLemma-015-9-mod,725758,362880,0,true,6086,6086,0,18290066,0.00
SchurrLemma-020-9-mod,362878,181440,0,true,5219,5219,0,14159106,0.00
Kakuro-hard-010-sumdiff,22,11,1,true,16,16,0,375,0.00
Purdey,2,1,1,true,22,22,0,10,0.00
Kakuro-medium-129-sumdiff,294826,147413,1,true,5349,5349,0,3233337,0.00
KnightTour-06-ext03,406682,193480,9862,true,10965,10965,0,1241394,0.00
Queens-0009-m1,10906,5102,352,true,193,193,0,29617,0.00
Alpha,157720,78860,1,true,3279,3279,0,340401,0.00
SchurrLemma-012-9-mod,725758,362880,0,true,4598,4598,0,14335642,0.00
SchurrLemma-050-9-mod,362878,181440,0,true,23879,23879,0,63265266,0.00
Allergy,2,1,1,true,4,4,0,5,0.00
Kakuro-hard-056-sumdiff,44,22,1,true,6,6,0,643,0.00
SchurrLemma-030-9-mod,362878,181440,0,true,9764,9764,0,25115806,0.00
Queens-0012-m1,1578274,774938,14200,true,33658,33658,0,4390953,0.00
Kakuro-medium-035-sumdiff,308,154,1,true,11,11,0,3887,0.00
Kakuro-hard-062-sumdiff,72,36,1,true,11,11,0,1195,0.00
Kakuro-medium-062-sumdiff,64,32,1,true,7,7,0,953,0.00
AllInterval-006,1110,532,24,true,7,7,0,2704,0.00
Kakuro-hard-137-sumdiff,739460,369730,1,true,13522,13522,0,9699484,0.00
Kakuro-medium-086-sumdiff,114,57,1,true,10,10,0,2072,0.00
SchurrLemma-100-9-mod,362878,181440,0,true,90273,90273,0,227947666,0.00
