Instance,Nodes,Failures,Solutions,Completed,TotalExecutionTimeMillis,JavaExecutionTimeMillis,PythonAIExecutionTimeMillis,NumberOfCallsToPropagate,Threshold
AllInterval-009,567158,283460,120,true,4612,4612,0,1448837,0.00
SchurrLemma-015-9-mod,725758,362880,0,true,6086,6086,0,18290066,0.00
SchurrLemma-020-9-mod,362878,181440,0,true,5219,5219,0,14159106,0.00
Kakuro-hard-010-sumdiff,22,11,1,true,16,16,0,375,0.00
Purdey,2,1,1,true,22,22,0,10,0.00
Kakuro-medium-129-sumdiff,294826,147413,1,true,5349,5349,0,3233337,0.00
KnightTour-06-ext03,406682,193480,9862,true,10965,10965,0,1241394,0.00
Queens-0009-m1,10906,5102,352,true,193,193,0,29617,0.00
Alpha,157720,78860,1,true,3279,3279,0,340401,0.00
SchurrLemma-012-9-mod,725758,362880,0,true,4598,4598,0,14335642,0.00
SchurrLemma-050-9-mod,362878,181440,0,true,23879,23879,0,63265266,0.00
Allergy,2,1,1,true,4,4,0,5,0.00
Kakuro-hard-056-sumdiff,44,22,1,true,6,6,0,643,0.00
SchurrLemma-030-9-mod,362878,181440,0,true,9764,9764,0,25115806,0.00
Queens-0012-m1,1578274,774938,14200,true,33658,33658,0,4390953,0.00
Kakuro-medium-035-sumdiff,308,154,1,true,11,11,0,3887,0.00
Kakuro-hard-062-sumdiff,72,36,1,true,11,11,0,1195,0.00
Kakuro-medium-062-sumdiff,64,32,1,true,7,7,0,953,0.00
AllInterval-006,1110,532,24,true,7,7,0,2704,0.00
Kakuro-hard-137-sumdiff,739460,369730,1,true,13522,13522,0,9699484,0.00
Kakuro-medium-086-sumdiff,114,57,1,true,10,10,0,2072,0.00
SchurrLemma-100-9-mod,362878,181440,0,true,90273,90273,0,227947666,0.00
bqwh-15-106-51_X2,462,39,193,true,317,317,0,10705,0.00
ColouredQueens-07,2771998,1365840,20160,true,92064,92064,0,100035595,0.00
Sudoku-s12a-alldiff,2,1,1,true,12,12,0,225,0.00
Sudoku-s11c-alldiff,2,1,1,true,5,5,0,117,0.00
bqwh-18-141-50_X2,618,122,188,true,29,29,0,18959,0.00
Subisomorphism-si2-m4Dr6-m625-04,9504,145,4608,true,2675,2675,0,18194,0.00
Langford-4-09,114,58,0,true,37,37,0,209,0.00
ColouredQueens-03,4,3,0,true,2,2,0,36,0.00
Sudoku-s13a-alldiff,2,1,1,true,3,3,0,89,0.00
Sudoku-s08c-alldiff,2,1,1,true,3,3,0,178,0.00
Subisomorphism-g16-g46,2278,1140,0,true,1526,1526,0,4313,0.00
bqwh-15-106-02_X2,102,23,29,true,8,8,0,2618,0.00
sudoku368_X2,4,2,1,true,17,17,0,1004,0.00
Langford-2-06,122,62,0,true,3,3,0,205,0.00
Sudoku-s11b-alldiff,2,1,1,true,2,2,0,145,0.00
bqwh-15-106-07_X2,332,75,92,true,10,10,0,9055,0.00
Sudoku-s03b-alldiff,2,1,1,true,2,2,0,136,0.00
OpenStacks-m1-wbop-30-10-1,202696,101349,0,true,18490,18490,0,339948,0.00
bqwh-18-141-75_X2,514,225,33,true,27,27,0,19998,0.00
MagicSquare-03-sum,62,24,8,true,2,2,0,153,0.00
Ortholatin-005,10942,5040,432,true,325,325,0,171795,0.00
bqwh-15-106-81_X2,164,48,35,true,13,13,0,4314,0.00
bqwh-15-106-25_X2,604,224,79,true,21,21,0,17848,0.00
Sudoku-s13c-alldiff,2,1,1,true,2,2,0,83,0.00
Subisomorphism-si4-m4Dr2-m625-02,100,3,48,true,592,592,0,204,0.00
CostasArray-10,176932,86307,2160,true,5912,5912,0,2657537,0.00
