Instance,solId,BestObjectiveValue,TimeMs
GolombRuler,1,7,176
GolombRuler,2,6,177
RubiksCube,1,14,73
RubiksCube,2,13,75
RubiksCube,3,12,76
RubiksCube,4,11,78
RubiksCube,5,10,80
RubiksCube,6,9,82
RubiksCube,7,8,84
RubiksCube,8,7,85
RubiksCube,9,6,87
RubiksCube,10,5,88
RubiksCube,11,4,91
RubiksCube,12,3,92
RubiksCube,13,2,94
RubiksCube,14,1,95
MultiAgentPathFinding,1,10,27
MultiAgentPathFinding,2,9,29
MultiAgentPathFinding,3,8,36
ClockTriplet,1,33,12
ClockTriplet,2,32,12
ClockTriplet,3,31,13
ClockTriplet,4,30,13
ClockTriplet,5,29,13
ClockTriplet,6,28,18
ClockTriplet,7,27,24
ClockTriplet,8,26,32
ClockTriplet,9,25,38
ClockTriplet,10,24,83
ClockTriplet,11,23,307
ClockTriplet,12,22,489
ClockTriplet,13,21,833
Pyramid,1,8,3
Charlotte,1,937,8
Charlotte,2,924,8
Charlotte,3,909,9
Charlotte,4,907,9
Charlotte,5,871,14
Charlotte,6,869,14
Charlotte,7,856,15
Charlotte,8,841,15
Charlotte,9,839,15
Charlotte,10,829,17
Charlotte,11,827,17
Charlotte,12,822,19
Charlotte,13,820,19
Charlotte,14,802,20
Charlotte,15,799,20
Charlotte,16,789,21
Charlotte,17,786,21
Charlotte,18,771,21
Charlotte,19,769,21
Charlotte,20,759,22
Charlotte,21,757,22
KMedian,1,1472,27
Pyramid-2,1,20,9
