Instance,Nodes,Failures,Solutions,Completed,TotalExecutionTimeMillis,JavaExecutionTimeMillis,PythonAIExecutionTimeMillis,NumberOfCallsToPropagate,Threshold,BestObjectiveValue,isMinimization
/root/java/COP_instances/GolombRuler,6,2,2,true,264,264,0,10,0.01,6,true
/root/java/COP_instances/GolombRuler,6,2,2,true,24,24,0,10,0.05,6,true
/root/java/COP_instances/GolombRuler,6,2,2,true,23,23,0,10,0.10,6,true
/root/java/COP_instances/GolombRuler,6,2,2,true,25,25,0,10,0.20,6,true
/root/java/COP_instances/GolombRuler,6,2,2,true,27,27,0,10,0.30,6,true
/root/java/COP_instances/GolombRuler,6,2,2,true,23,23,0,10,0.40,6,true
/root/java/COP_instances/GolombRuler,6,2,2,true,26,26,0,10,0.50,6,true
/root/java/COP_instances/GolombRuler,6,2,2,true,24,24,0,10,0.60,6,true
/root/java/COP_instances/GolombRuler,6,2,2,true,23,23,0,10,0.70,6,true
/root/java/COP_instances/GolombRuler,6,2,2,true,20,20,0,10,0.80,6,true
/root/java/COP_instances/GolombRuler,6,2,2,true,28,28,0,10,0.90,6,true
/root/java/COP_instances/GolombRuler,10,4,2,true,24,24,0,16,1.00,6,true
/root/java/COP_instances/RubiksCube,378,176,14,true,74,74,0,202,0.01,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,34,34,0,202,0.05,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,28,28,0,202,0.10,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,22,22,0,202,0.20,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,21,21,0,202,0.30,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,18,18,0,202,0.40,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,33,33,0,202,0.50,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,24,24,0,202,0.60,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,19,19,0,202,0.70,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,19,19,0,202,0.80,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,21,21,0,202,0.90,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,18,18,0,202,1.00,1,true
/root/java/COP_instances/MultiAgentPathFinding,20,11,0,true,192,192,0,41,0.01,2147483647,true
/root/java/COP_instances/MultiAgentPathFinding,24,12,1,true,83,83,0,58,0.05,10,true
/root/java/COP_instances/MultiAgentPathFinding,24,12,1,true,134,134,0,58,0.10,10,true
/root/java/COP_instances/MultiAgentPathFinding,24,12,1,true,160,160,0,58,0.20,10,true
/root/java/COP_instances/MultiAgentPathFinding,64,30,3,true,161,161,0,182,0.30,8,true
/root/java/COP_instances/MultiAgentPathFinding,96,46,3,true,301,301,0,245,0.40,8,true
/root/java/COP_instances/MultiAgentPathFinding,180,88,3,true,306,306,0,465,0.50,8,true
/root/java/COP_instances/MultiAgentPathFinding,180,88,3,true,354,354,0,465,0.60,8,true
/root/java/COP_instances/MultiAgentPathFinding,200,98,3,true,374,374,0,510,0.70,8,true
/root/java/COP_instances/MultiAgentPathFinding,262,129,3,true,716,716,0,652,0.80,8,true
/root/java/COP_instances/MultiAgentPathFinding,280,138,3,true,763,763,0,743,0.90,8,true
/root/java/COP_instances/MultiAgentPathFinding,280,138,3,true,659,659,0,743,1.00,8,true
/root/java/COP_instances/ClockTriplet,94142,47059,13,true,134815,134815,0,191024,0.01,21,true
/root/java/COP_instances/ClockTriplet,104112,52044,13,true,151869,151869,0,209570,0.05,21,true
/root/java/COP_instances/ClockTriplet,109276,54626,13,true,145137,145137,0,220183,0.10,21,true
/root/java/COP_instances/ClockTriplet,110250,55113,13,true,146839,146839,0,222608,0.20,21,true
/root/java/COP_instances/ClockTriplet,115550,57763,13,true,153144,153144,0,230526,0.30,21,true
/root/java/COP_instances/ClockTriplet,115886,57931,13,true,151025,151025,0,231800,0.40,21,true
/root/java/COP_instances/ClockTriplet,117566,58771,13,true,150771,150771,0,234901,0.50,21,true
/root/java/COP_instances/ClockTriplet,119704,59840,13,true,157729,157729,0,238010,0.60,21,true
/root/java/COP_instances/ClockTriplet,119956,59966,13,true,150431,150431,0,238589,0.70,21,true
/root/java/COP_instances/ClockTriplet,121830,60903,13,true,153099,153099,0,241930,0.80,21,true
/root/java/COP_instances/ClockTriplet,124132,62054,13,true,155805,155805,0,246055,0.90,21,true
/root/java/COP_instances/ClockTriplet,155166,77571,13,true,176986,176986,0,290773,1.00,21,true
/root/java/COP_instances/Pyramid,42,21,1,true,76,76,0,82,0.01,9,true
/root/java/COP_instances/Pyramid,34,17,1,true,57,57,0,69,0.05,8,true
/root/java/COP_instances/Pyramid,36,18,1,true,63,63,0,71,0.10,8,true
/root/java/COP_instances/Pyramid,40,20,1,true,65,65,0,82,0.20,8,true
