Instance,Nodes,Failures,Solutions,Completed,TotalExecutionTimeMillis,JavaExecutionTimeMillis,PythonAIExecutionTimeMillis,NumberOfCallsToPropagate,Threshold,BestObjectiveValue,isMinimization
/root/java/COP_instances/GolombRuler,2,2,0,true,245,245,0,2,0.01,2147483647,true
/root/java/COP_instances/GolombRuler,2,2,0,true,14,14,0,2,0.05,2147483647,true
/root/java/COP_instances/GolombRuler,2,2,0,true,12,12,0,2,0.10,2147483647,true
/root/java/COP_instances/GolombRuler,2,2,0,true,13,13,0,4,0.20,2147483647,true
/root/java/COP_instances/GolombRuler,2,2,0,true,13,13,0,4,0.30,2147483647,true
/root/java/COP_instances/GolombRuler,2,2,0,true,13,13,0,6,0.40,2147483647,true
/root/java/COP_instances/GolombRuler,2,2,0,true,11,11,0,6,0.50,2147483647,true
/root/java/COP_instances/GolombRuler,2,2,0,true,15,15,0,8,0.60,2147483647,true
/root/java/COP_instances/GolombRuler,2,2,0,true,11,11,0,9,0.70,2147483647,true
/root/java/COP_instances/GolombRuler,2,2,0,true,14,14,0,15,0.80,2147483647,true
/root/java/COP_instances/GolombRuler,2,2,0,true,13,13,0,27,0.90,2147483647,true
/root/java/COP_instances/GolombRuler,10,4,2,true,15,15,0,16,1.00,6,true
/root/java/COP_instances/RubiksCube,378,176,14,true,88,88,0,202,0.01,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,34,34,0,202,0.05,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,28,28,0,202,0.10,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,24,24,0,202,0.20,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,23,23,0,202,0.30,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,22,22,0,202,0.40,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,30,30,0,202,0.50,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,15,15,0,202,0.60,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,13,13,0,202,0.70,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,15,15,0,202,0.80,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,13,13,0,202,0.90,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,15,15,0,202,1.00,1,true
/root/java/COP_instances/MultiAgentPathFinding,2,2,0,true,17,17,0,2,0.01,2147483647,true
/root/java/COP_instances/MultiAgentPathFinding,2,2,0,true,5,5,0,2,0.05,2147483647,true
/root/java/COP_instances/MultiAgentPathFinding,2,2,0,true,6,6,0,2,0.10,2147483647,true
/root/java/COP_instances/MultiAgentPathFinding,2,2,0,true,7,7,0,2,0.20,2147483647,true
/root/java/COP_instances/MultiAgentPathFinding,2,2,0,true,7,7,0,4,0.30,2147483647,true
/root/java/COP_instances/MultiAgentPathFinding,2,2,0,true,9,9,0,4,0.40,2147483647,true
/root/java/COP_instances/MultiAgentPathFinding,2,2,0,true,9,9,0,15,0.50,2147483647,true
/root/java/COP_instances/MultiAgentPathFinding,2,2,0,true,9,9,0,11,0.60,2147483647,true
/root/java/COP_instances/MultiAgentPathFinding,2,2,0,true,5,5,0,9,0.70,2147483647,true
/root/java/COP_instances/MultiAgentPathFinding,2,2,0,true,7,7,0,35,0.80,2147483647,true
