Instance,Nodes,Failures,Solutions,Completed,TotalExecutionTimeMillis,JavaExecutionTimeMillis,PythonAIExecutionTimeMillis,NumberOfCallsToPropagate,Threshold
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,2,2,0,true,56,50,0,58,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,2,2,0,true,8,5,0,62,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,2,2,0,true,5,3,0,41,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,10,6,0,true,14,5,1,165,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,24,13,0,true,21,6,2,319,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,10,6,0,true,9,3,1,165,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,2,2,0,true,3,2,0,32,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,26,14,0,true,17,4,3,347,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,2,2,0,true,1,1,0,4,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Queens-0012-m1,6842,3399,23,true,1622,296,502,24558,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Queens-0012-m1,10878,5392,48,true,2226,306,753,37869,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Queens-0012-m1,28056,13901,128,true,5402,723,1783,93829,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Queens-0012-m1,22588,11183,112,true,4293,570,1432,75198,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Queens-0012-m1,65708,32474,381,true,11737,1533,3824,213746,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Queens-0012-m1,89698,44279,571,true,15573,2061,5051,286452,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Queens-0012-m1,80716,39870,489,true,13570,1861,4380,253631,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Queens-0012-m1,85496,42201,548,true,14435,1947,4634,268445,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Queens-0012-m1,348094,171417,2631,true,53814,7350,16608,1036266,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/AllInterval-006,706,348,6,true,80,6,25,1776,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/AllInterval-006,506,243,11,true,55,3,18,1273,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/AllInterval-006,520,245,16,true,58,3,19,1376,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/AllInterval-006,642,309,13,true,68,4,22,1614,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/AllInterval-006,810,393,13,true,86,5,28,2012,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/AllInterval-006,756,367,12,true,79,5,26,1883,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/AllInterval-006,998,480,20,true,105,6,35,2499,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/AllInterval-006,952,460,17,true,99,5,33,2370,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/AllInterval-006,1028,494,21,true,106,6,35,2527,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-086-sumdiff,4,3,0,true,5,1,1,111,0.10
