Instance,Nodes,Failures,Solutions,Completed,TotalExecutionTimeMillis,JavaExecutionTimeMillis,PythonAIExecutionTimeMillis,NumberOfCallsToPropagate,Threshold,BestObjectiveValue,isMinimization
/root/java/COP_instances/GolombRuler,2,2,0,true,255,255,0,2,0.01,2147483647,true
/root/java/COP_instances/GolombRuler,6,2,2,true,30,30,0,11,0.05,6,true
/root/java/COP_instances/GolombRuler,6,2,2,true,26,26,0,11,0.10,6,true
/root/java/COP_instances/GolombRuler,6,2,2,true,27,27,0,13,0.20,6,true
/root/java/COP_instances/GolombRuler,6,2,2,true,37,37,0,13,0.30,6,true
/root/java/COP_instances/GolombRuler,6,2,2,true,25,25,0,13,0.40,6,true
/root/java/COP_instances/GolombRuler,6,2,2,true,38,38,0,13,0.50,6,true
/root/java/COP_instances/GolombRuler,6,2,2,true,21,21,0,13,0.60,6,true
/root/java/COP_instances/GolombRuler,6,2,2,true,25,25,0,13,0.70,6,true
/root/java/COP_instances/GolombRuler,6,2,2,true,36,36,0,13,0.80,6,true
/root/java/COP_instances/GolombRuler,12,5,2,true,30,30,0,19,0.90,6,true
/root/java/COP_instances/GolombRuler,10,4,2,true,19,19,0,16,1.00,6,true
/root/java/COP_instances/RubiksCube,378,176,14,true,87,87,0,202,0.01,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,32,32,0,202,0.05,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,45,45,0,202,0.10,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,21,21,0,202,0.20,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,19,19,0,202,0.30,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,21,21,0,202,0.40,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,21,21,0,202,0.50,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,14,14,0,202,0.60,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,17,17,0,202,0.70,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,15,15,0,202,0.80,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,15,15,0,202,0.90,1,true
/root/java/COP_instances/RubiksCube,378,176,14,true,13,13,0,202,1.00,1,true
/root/java/COP_instances/MultiAgentPathFinding,2,2,0,true,36,36,0,6,0.01,2147483647,true
/root/java/COP_instances/MultiAgentPathFinding,70,34,2,true,546,546,0,150,0.05,10,true
/root/java/COP_instances/MultiAgentPathFinding,216,106,3,true,611,611,0,601,0.10,8,true
/root/java/COP_instances/MultiAgentPathFinding,280,138,3,true,616,616,0,743,0.20,8,true
/root/java/COP_instances/MultiAgentPathFinding,280,138,3,true,600,600,0,743,0.30,8,true
/root/java/COP_instances/MultiAgentPathFinding,280,138,3,true,1098,1098,0,743,0.40,8,true
/root/java/COP_instances/MultiAgentPathFinding,280,138,3,true,459,459,0,743,0.50,8,true
/root/java/COP_instances/MultiAgentPathFinding,280,138,3,true,568,568,0,743,0.60,8,true
/root/java/COP_instances/MultiAgentPathFinding,280,138,3,true,417,417,0,743,0.70,8,true
/root/java/COP_instances/MultiAgentPathFinding,280,138,3,true,485,485,0,743,0.80,8,true
/root/java/COP_instances/MultiAgentPathFinding,280,138,3,true,401,401,0,743,0.90,8,true
/root/java/COP_instances/MultiAgentPathFinding,280,138,3,true,579,579,0,743,1.00,8,true
/root/java/COP_instances/ClockTriplet,237056,118520,9,true,291528,291528,0,442819,0.01,25,true
/root/java/COP_instances/ClockTriplet,79224,39600,13,true,102871,102871,0,161670,0.05,21,true
/root/java/COP_instances/ClockTriplet,112788,56382,13,true,129876,129876,0,222233,0.10,21,true
/root/java/COP_instances/ClockTriplet,128182,64079,13,true,150133,150133,0,251314,0.20,21,true
/root/java/COP_instances/ClockTriplet,131104,65540,13,true,151874,151874,0,256003,0.30,21,true
/root/java/COP_instances/ClockTriplet,132572,66274,13,true,159652,159652,0,258314,0.40,21,true
/root/java/COP_instances/ClockTriplet,133394,66685,13,true,156307,156307,0,259481,0.50,21,true
/root/java/COP_instances/ClockTriplet,135414,67695,13,true,158641,158641,0,263164,0.60,21,true
/root/java/COP_instances/ClockTriplet,138638,69307,13,true,165163,165163,0,269033,0.70,21,true
/root/java/COP_instances/ClockTriplet,139074,69525,13,true,166713,166713,0,270004,0.80,21,true
/root/java/COP_instances/ClockTriplet,140808,70392,13,true,167178,167178,0,273002,0.90,21,true
/root/java/COP_instances/ClockTriplet,155166,77571,13,true,170677,170677,0,290773,1.00,21,true
/root/java/COP_instances/Pyramid,62,31,1,true,149,149,0,127,0.01,22,true
/root/java/COP_instances/Pyramid,96,48,1,true,139,139,0,197,0.05,18,true
/root/java/COP_instances/Pyramid,68,34,1,true,90,90,0,136,0.10,13,true
/root/java/COP_instances/Pyramid,58,29,1,true,103,103,0,117,0.20,9,true
/root/java/COP_instances/Pyramid,52,26,1,true,82,82,0,105,0.30,8,true
/root/java/COP_instances/Pyramid,52,26,1,true,147,147,0,105,0.40,8,true
/root/java/COP_instances/Pyramid,52,26,1,true,127,127,0,105,0.50,8,true
/root/java/COP_instances/Pyramid,52,26,1,true,96,96,0,105,0.60,8,true
/root/java/COP_instances/Pyramid,52,26,1,true,115,115,0,105,0.70,8,true
/root/java/COP_instances/Pyramid,52,26,1,true,69,69,0,108,0.80,8,true
/root/java/COP_instances/Pyramid,52,26,1,true,128,128,0,109,0.90,8,true
/root/java/COP_instances/Pyramid,52,26,1,true,131,131,0,109,1.00,8,true
/root/java/COP_instances/Charlotte,56,29,0,true,147,147,0,119,0.01,2147483647,true
/root/java/COP_instances/Charlotte,1204,582,21,true,1694,1694,0,3517,0.05,757,true
/root/java/COP_instances/Charlotte,1204,582,21,true,1172,1172,0,3517,0.10,757,true
/root/java/COP_instances/Charlotte,1222,591,21,true,1160,1160,0,3528,0.20,757,true
/root/java/COP_instances/Charlotte,1222,591,21,true,1050,1050,0,3528,0.30,757,true
/root/java/COP_instances/Charlotte,1222,591,21,true,1152,1152,0,3528,0.40,757,true
/root/java/COP_instances/Charlotte,1222,591,21,true,1194,1194,0,3528,0.50,757,true
/root/java/COP_instances/Charlotte,1222,591,21,true,1189,1189,0,3528,0.60,757,true
/root/java/COP_instances/Charlotte,1222,591,21,true,1146,1146,0,3528,0.70,757,true
/root/java/COP_instances/Charlotte,1222,591,21,true,1248,1248,0,3528,0.80,757,true
/root/java/COP_instances/Charlotte,1222,591,21,true,1105,1105,0,3528,0.90,757,true
/root/java/COP_instances/Charlotte,1514,737,21,true,1036,1036,0,3555,1.00,757,true
/root/java/COP_instances/KMedian,2,2,0,true,81,81,0,4,0.01,2147483647,true
/root/java/COP_instances/KMedian,2,2,0,true,69,69,0,5,0.05,2147483647,true
/root/java/COP_instances/KMedian,2,2,0,true,15,15,0,5,0.10,2147483647,true
/root/java/COP_instances/KMedian,2,1,1,true,30,30,0,6,0.20,1472,true
/root/java/COP_instances/KMedian,2,1,1,true,52,52,0,6,0.30,1472,true
/root/java/COP_instances/KMedian,2,1,1,true,20,20,0,6,0.40,1472,true
/root/java/COP_instances/KMedian,2,1,1,true,32,32,0,6,0.50,1472,true
/root/java/COP_instances/KMedian,2,1,1,true,15,15,0,6,0.60,1472,true
