Instance,Nodes,Failures,Solutions,Completed,TotalExecutionTimeMillis,JavaExecutionTimeMillis,PythonAIExecutionTimeMillis,NumberOfCallsToPropagate,Threshold
/root/java/filtered_xml_instances_test/bqwh-15-106-51_X2,2,2,0,true,87,67,13,11,0.10
/root/java/filtered_xml_instances_test/bqwh-15-106-51_X2,2,2,0,true,28,4,18,17,0.20
/root/java/filtered_xml_instances_test/bqwh-15-106-51_X2,2,2,0,true,27,4,18,18,0.30
/root/java/filtered_xml_instances_test/bqwh-15-106-51_X2,2,2,0,true,33,4,24,18,0.40
/root/java/filtered_xml_instances_test/bqwh-15-106-51_X2,2,2,0,true,21,3,13,14,0.50
/root/java/filtered_xml_instances_test/bqwh-15-106-51_X2,2,2,0,true,25,3,17,19,0.60
/root/java/filtered_xml_instances_test/bqwh-15-106-51_X2,2,2,0,true,88,2,82,12,0.70
/root/java/filtered_xml_instances_test/bqwh-15-106-51_X2,2,2,0,true,18,3,12,12,0.80
/root/java/filtered_xml_instances_test/bqwh-15-106-51_X2,2,2,0,true,140,5,113,110,0.90
/root/java/filtered_xml_instances_test/ColouredQueens-07,82,42,0,true,3960,81,3405,3907,0.10
/root/java/filtered_xml_instances_test/ColouredQueens-07,315988,157987,8,true,7163776,69408,6291109,10744863,0.20
/root/java/filtered_xml_instances_test/ColouredQueens-07,362370,181186,0,true,8211235,82633,7215306,13172921,0.30
/root/java/filtered_xml_instances_test/ColouredQueens-07,470346,235174,0,true,10435144,101726,9169326,16803224,0.40
/root/java/filtered_xml_instances_test/ColouredQueens-07,499156,249579,0,true,11953581,115367,10506844,18837107,0.50
/root/java/filtered_xml_instances_test/ColouredQueens-07,531084,265543,0,true,13183921,125153,11593477,20858197,0.60
/root/java/filtered_xml_instances_test/ColouredQueens-07,624516,312259,0,true,15804552,149263,13900465,25282366,0.70
/root/java/filtered_xml_instances_test/ColouredQueens-07,832600,416301,0,true,21669365,205837,19056577,33926168,0.80
/root/java/filtered_xml_instances_test/ColouredQueens-07,1822070,901815,9221,true,44674552,430392,39312223,74135792,0.90
/root/java/filtered_xml_instances_test/Sudoku-s12a-alldiff,2,2,0,true,30,11,16,18,0.10
/root/java/filtered_xml_instances_test/Sudoku-s12a-alldiff,2,2,0,true,16,1,12,18,0.20
/root/java/filtered_xml_instances_test/Sudoku-s12a-alldiff,2,2,0,true,41,2,38,19,0.30
/root/java/filtered_xml_instances_test/Sudoku-s12a-alldiff,2,2,0,true,15,1,12,19,0.40
/root/java/filtered_xml_instances_test/Sudoku-s12a-alldiff,2,2,0,true,27,1,25,19,0.50
/root/java/filtered_xml_instances_test/Sudoku-s12a-alldiff,2,2,0,true,15,1,12,19,0.60
/root/java/filtered_xml_instances_test/Sudoku-s12a-alldiff,2,2,0,true,44,1,41,18,0.70
/root/java/filtered_xml_instances_test/Sudoku-s12a-alldiff,2,2,0,true,35,1,30,42,0.80
/root/java/filtered_xml_instances_test/Sudoku-s12a-alldiff,2,2,0,true,109,2,96,194,0.90
/root/java/filtered_xml_instances_test/Sudoku-s11c-alldiff,2,2,0,true,16,1,13,19,0.10
/root/java/filtered_xml_instances_test/Sudoku-s11c-alldiff,2,2,0,true,13,1,10,16,0.20
/root/java/filtered_xml_instances_test/Sudoku-s11c-alldiff,2,2,0,true,30,1,27,15,0.30
/root/java/filtered_xml_instances_test/Sudoku-s11c-alldiff,2,2,0,true,28,1,24,31,0.40
/root/java/filtered_xml_instances_test/Sudoku-s11c-alldiff,2,2,0,true,18,1,14,22,0.50
/root/java/filtered_xml_instances_test/Sudoku-s11c-alldiff,2,2,0,true,21,1,17,26,0.60
/root/java/filtered_xml_instances_test/Sudoku-s11c-alldiff,2,2,0,true,29,1,26,27,0.70
/root/java/filtered_xml_instances_test/Sudoku-s11c-alldiff,2,2,0,true,27,1,22,40,0.80
/root/java/filtered_xml_instances_test/Sudoku-s11c-alldiff,2,2,0,true,73,1,64,111,0.90
/root/java/filtered_xml_instances_test/bqwh-18-141-50_X2,2,2,0,true,32,2,27,21,0.10
/root/java/filtered_xml_instances_test/bqwh-18-141-50_X2,2,2,0,true,16,1,13,20,0.20
/root/java/filtered_xml_instances_test/bqwh-18-141-50_X2,2,2,0,true,16,1,13,20,0.30
/root/java/filtered_xml_instances_test/bqwh-18-141-50_X2,2,2,0,true,21,1,17,24,0.40
/root/java/filtered_xml_instances_test/bqwh-18-141-50_X2,2,2,0,true,17,1,14,21,0.50
/root/java/filtered_xml_instances_test/bqwh-18-141-50_X2,2,2,0,true,38,1,34,24,0.60
/root/java/filtered_xml_instances_test/bqwh-18-141-50_X2,2,2,0,true,23,1,19,23,0.70
/root/java/filtered_xml_instances_test/bqwh-18-141-50_X2,2,2,0,true,17,1,13,20,0.80
/root/java/filtered_xml_instances_test/bqwh-18-141-50_X2,2,2,0,true,69,1,65,20,0.90
/root/java/filtered_xml_instances_test/Subisomorphism-si2-m4Dr6-m625-04,38,20,0,true,18767,1810,15886,128,0.10
/root/java/filtered_xml_instances_test/Subisomorphism-si2-m4Dr6-m625-04,44,23,0,true,22317,1981,19145,156,0.20
/root/java/filtered_xml_instances_test/Subisomorphism-si2-m4Dr6-m625-04,44,23,0,true,19605,2021,16428,155,0.30
/root/java/filtered_xml_instances_test/Subisomorphism-si2-m4Dr6-m625-04,46,24,0,true,21955,2288,18407,170,0.40
/root/java/filtered_xml_instances_test/Subisomorphism-si2-m4Dr6-m625-04,48,25,0,true,23688,2480,19833,187,0.50
/root/java/filtered_xml_instances_test/Subisomorphism-si2-m4Dr6-m625-04,50,26,0,true,23540,2454,19728,190,0.60
/root/java/filtered_xml_instances_test/Subisomorphism-si2-m4Dr6-m625-04,52,27,0,true,24563,2560,20575,201,0.70
/root/java/filtered_xml_instances_test/Subisomorphism-si2-m4Dr6-m625-04,66,34,0,true,29618,3468,24418,304,0.80
/root/java/filtered_xml_instances_test/Subisomorphism-si2-m4Dr6-m625-04,9434,110,4608,true,64253,7007,52962,18328,0.90
/root/java/filtered_xml_instances_test/Langford-4-09,2,2,0,true,72,6,62,2,0.10
