Instance,Nodes,Failures,Solutions,Completed,TotalExecutionTimeMillis,JavaExecutionTimeMillis,PythonAIExecutionTimeMillis,NumberOfCallsToPropagate,Threshold
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,2,2,0,true,70,55,10,10,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,2,2,0,true,26,5,16,40,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,2,2,0,true,26,4,18,40,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,2,2,0,true,43,3,30,40,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,2,2,0,true,23,3,17,40,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,2,2,0,true,31,3,18,40,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,8,5,0,true,136,4,112,156,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,30,16,0,true,304,7,223,428,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,80,40,1,true,638,14,571,972,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Queens-0012-m1,1574008,773135,13870,true,2447887,59385,2159489,4399889,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Queens-0012-m1,1575500,773781,13970,true,2444012,59085,2154457,4408130,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Queens-0012-m1,1576208,774101,14004,true,2410055,58320,2125052,4410073,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Queens-0012-m1,1576578,774273,14017,true,2408353,57884,2125496,4411789,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Queens-0012-m1,1577492,774676,14071,true,2376713,57744,2095195,4415794,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Queens-0012-m1,1581048,776434,14091,true,2397752,57668,2115156,4411762,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Queens-0012-m1,1581272,776532,14105,true,2407528,58383,2120300,4413015,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Queens-0012-m1,1582278,777005,14135,true,2395748,58368,2112300,4416451,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Queens-0012-m1,1583340,777481,14190,true,2399709,57782,2118245,4416110,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/AllInterval-006,1106,530,24,true,1491,24,1312,2694,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/AllInterval-006,1110,532,24,true,1344,17,1199,2699,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/AllInterval-006,1110,532,24,true,1343,17,1199,2699,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/AllInterval-006,1110,532,24,true,1348,17,1203,2703,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/AllInterval-006,1110,532,24,true,1367,17,1223,2704,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/AllInterval-006,1110,532,24,true,1410,18,1265,2700,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/AllInterval-006,1110,532,24,true,1350,18,1206,2700,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/AllInterval-006,1110,532,24,true,1348,17,1204,2700,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/AllInterval-006,1110,532,24,true,1349,17,1204,2709,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-015-9-mod,518542,259272,0,true,5392336,21092,4857813,13066993,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-015-9-mod,725758,362880,0,true,7537340,30013,6785885,18290017,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-015-9-mod,725758,362880,0,true,7536885,29593,6795457,18290017,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-015-9-mod,725758,362880,0,true,7538838,30234,6795180,18290017,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-015-9-mod,725758,362880,0,true,7535608,29797,6796641,18290017,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-015-9-mod,725758,362880,0,true,7527135,30047,6783893,18290017,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-015-9-mod,725758,362880,0,true,7539782,29741,6800919,18290017,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-015-9-mod,725758,362880,0,true,7533327,30230,6786991,18290017,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-015-9-mod,725758,362880,0,true,7518905,30079,6776256,18290017,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-086-sumdiff,2,2,0,true,8,1,6,14,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-086-sumdiff,2,2,0,true,9,1,7,14,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-086-sumdiff,2,2,0,true,8,1,6,14,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-086-sumdiff,2,2,0,true,27,1,25,14,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-086-sumdiff,2,2,0,true,7,1,5,14,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-086-sumdiff,2,2,0,true,10,1,8,14,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-086-sumdiff,2,2,0,true,13,1,12,14,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-086-sumdiff,2,2,0,true,37,1,32,64,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-086-sumdiff,154,77,1,true,1009,10,905,2508,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Alpha,136542,68272,0,true,281404,4299,243106,292313,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Alpha,137404,68703,0,true,279490,4301,241486,293928,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Alpha,137852,68927,0,true,284218,4322,245583,295779,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Alpha,138320,69161,0,true,283043,4326,244636,297021,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Alpha,95492,47746,1,true,209935,3140,181312,216505,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Alpha,156852,78427,0,true,326559,4980,282196,340289,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Alpha,156976,78489,0,true,327990,4979,283380,340416,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Alpha,157158,78580,0,true,327709,4998,283197,340855,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Alpha,157412,78707,0,true,323979,4958,279979,341632,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-030-9-mod,518542,259272,0,true,23090163,93759,20779108,43349884,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-030-9-mod,725758,362880,0,true,32099355,127186,28887290,60677836,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-030-9-mod,725758,362880,0,true,32527260,127818,29271657,60677836,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-030-9-mod,725758,362880,0,true,32393803,135643,29115951,60677836,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-030-9-mod,725758,362880,0,true,31906585,133914,28634885,60677836,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-030-9-mod,725758,362880,0,true,31850684,133060,28582725,60677836,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-030-9-mod,725758,362880,0,true,32178015,135720,28885511,60677836,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-030-9-mod,725758,362880,0,true,32442459,139150,29117407,60677836,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-030-9-mod,725758,362880,0,true,32625883,137968,29290767,60677836,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/KnightTour-06-ext03,532740,261169,5202,true,1078739,23457,937575,1640784,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/KnightTour-06-ext03,551924,270687,5276,true,1096399,23884,954024,1707077,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/KnightTour-06-ext03,579414,284164,5544,true,1153146,25066,1002840,1790923,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/KnightTour-06-ext03,672914,330623,5835,true,1334821,29055,1162275,2088751,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/KnightTour-06-ext03,803956,394038,7941,true,1597954,34306,1392334,2498958,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/KnightTour-06-ext03,918794,451211,8187,true,1811614,39020,1576530,2850005,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/KnightTour-06-ext03,975756,479468,8411,true,1902791,41135,1657041,3025973,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/KnightTour-06-ext03,1114532,548365,8902,true,2147594,45427,1871795,3458236,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/KnightTour-06-ext03,1999488,990385,9360,true,3644267,76535,3181123,6097843,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-020-9-mod,518542,259272,0,true,9638358,28704,8702982,18412344,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-020-9-mod,725758,362880,0,true,13372777,38213,12070593,25771176,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-020-9-mod,725758,362880,0,true,13390084,38710,12080777,25771176,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-020-9-mod,725758,362880,0,true,13232796,38312,11933760,25771176,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-020-9-mod,725758,362880,0,true,13421698,38998,12096808,25771176,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-020-9-mod,725758,362880,0,true,13398096,38491,12086776,25771176,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-020-9-mod,725758,362880,0,true,13415258,39237,12096642,25771176,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-020-9-mod,725758,362880,0,true,13234162,38772,11934651,25771176,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-020-9-mod,725758,362880,0,true,13426300,39271,12101899,25771176,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-062-sumdiff,2,2,0,true,41,8,31,13,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-062-sumdiff,2,2,0,true,9,3,5,12,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-062-sumdiff,2,2,0,true,29,2,25,14,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-062-sumdiff,2,2,0,true,18,2,15,12,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-062-sumdiff,2,2,0,true,8,2,5,12,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-062-sumdiff,2,2,0,true,105,2,100,46,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-062-sumdiff,2,2,0,true,25,1,21,45,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-062-sumdiff,2,2,0,true,36,1,32,45,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-062-sumdiff,98,49,1,true,665,10,591,1373,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-035-sumdiff,2,2,0,true,20,1,17,36,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-035-sumdiff,2,2,0,true,51,1,47,46,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-035-sumdiff,2,2,0,true,32,1,27,58,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-035-sumdiff,10,6,0,true,84,1,74,168,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-035-sumdiff,22,12,0,true,149,2,134,272,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-035-sumdiff,22,12,0,true,136,2,121,281,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-035-sumdiff,26,14,0,true,225,2,201,328,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-035-sumdiff,34,18,0,true,198,2,177,417,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-035-sumdiff,182,92,0,true,988,10,889,2161,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-129-sumdiff,8,5,0,true,83,2,73,167,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-129-sumdiff,16,9,0,true,189,3,169,349,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-129-sumdiff,30,16,0,true,392,4,355,672,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-129-sumdiff,68,35,0,true,994,9,900,1730,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-129-sumdiff,480,241,0,true,4384,44,3934,8723,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-129-sumdiff,1106,554,0,true,9367,93,8404,18703,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-129-sumdiff,500,251,0,true,4343,42,3895,8632,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-129-sumdiff,1810,906,0,true,15111,148,13554,30396,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-129-sumdiff,7758,3880,0,true,47632,484,42726,100095,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-012-9-mod,518542,259272,0,true,3711829,14817,3347913,10241548,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-012-9-mod,725758,362880,0,true,5206491,21263,4693816,14335612,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-012-9-mod,725758,362880,0,true,5202952,21023,4692390,14335612,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-012-9-mod,725758,362880,0,true,5207088,21117,4691812,14335612,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-012-9-mod,725758,362880,0,true,5204997,21233,4692773,14335612,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-012-9-mod,725758,362880,0,true,5133073,20281,4627662,14335612,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-012-9-mod,725758,362880,0,true,5191775,19839,4684737,14335612,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-012-9-mod,725758,362880,0,true,5201463,20163,4691486,14335612,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/SchurrLemma-012-9-mod,725758,362880,0,true,5135010,19618,4630987,14335612,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-137-sumdiff,2,2,0,true,28,1,23,43,0.10
