Instance,Nodes,Failures,Solutions,Completed,TotalExecutionTimeMillis,JavaExecutionTimeMillis,PythonAIExecutionTimeMillis,NumberOfCallsToPropagate,Threshold
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Kakuro-hard-056-sumdiff,2,2,0,true,51,50,0,4,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Kakuro-hard-056-sumdiff,2,2,0,true,4,4,0,4,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Kakuro-hard-056-sumdiff,2,2,0,true,4,3,0,4,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Kakuro-hard-056-sumdiff,2,2,0,true,4,3,0,8,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Kakuro-hard-056-sumdiff,2,2,0,true,3,2,0,6,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Kakuro-hard-056-sumdiff,2,2,0,true,4,3,0,10,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Kakuro-hard-056-sumdiff,2,2,0,true,3,2,0,12,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Kakuro-hard-056-sumdiff,2,2,0,true,2,2,0,4,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Kakuro-hard-056-sumdiff,2,2,0,true,3,2,0,22,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/bqwh-18-141-50_X2,2,2,0,true,6,5,0,2,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/bqwh-18-141-50_X2,2,2,0,true,3,2,0,2,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/bqwh-18-141-50_X2,2,2,0,true,2,2,0,2,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/bqwh-18-141-50_X2,2,2,0,true,2,1,0,3,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/bqwh-18-141-50_X2,2,2,0,true,2,1,0,3,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/bqwh-18-141-50_X2,2,2,0,true,2,1,0,7,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/bqwh-18-141-50_X2,2,2,0,true,3,1,0,13,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/bqwh-18-141-50_X2,2,2,0,true,5,1,0,31,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/bqwh-18-141-50_X2,2,2,0,true,3,1,0,26,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Sudoku-s03b-alldiff,2,2,0,true,1,1,0,2,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Sudoku-s03b-alldiff,2,2,0,true,1,1,0,2,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Sudoku-s03b-alldiff,2,2,0,true,1,1,0,2,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Sudoku-s03b-alldiff,2,2,0,true,1,0,0,4,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Sudoku-s03b-alldiff,2,2,0,true,1,0,0,5,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Sudoku-s03b-alldiff,2,2,0,true,1,0,0,2,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Sudoku-s03b-alldiff,2,2,0,true,1,0,0,9,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Sudoku-s03b-alldiff,2,2,0,true,2,1,0,8,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Sudoku-s03b-alldiff,2,2,0,true,2,0,0,16,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/sudoku368_X2,2,2,0,true,3,3,0,2,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/sudoku368_X2,2,2,0,true,3,2,0,2,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/sudoku368_X2,2,2,0,true,2,2,0,2,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/sudoku368_X2,2,2,0,true,2,2,0,3,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/sudoku368_X2,2,2,0,true,2,1,0,2,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/sudoku368_X2,2,2,0,true,2,1,0,5,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/sudoku368_X2,2,2,0,true,2,1,0,3,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/sudoku368_X2,2,2,0,true,2,1,0,6,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/sudoku368_X2,2,2,0,true,12,2,1,124,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Sudoku-s11c-alldiff,2,2,0,true,1,0,0,2,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Sudoku-s11c-alldiff,2,2,0,true,1,0,0,2,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Sudoku-s11c-alldiff,2,2,0,true,1,0,0,3,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Sudoku-s11c-alldiff,2,2,0,true,1,0,0,4,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Sudoku-s11c-alldiff,2,2,0,true,1,0,0,3,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Sudoku-s11c-alldiff,2,2,0,true,1,0,0,3,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Sudoku-s11c-alldiff,2,2,0,true,1,0,0,7,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Sudoku-s11c-alldiff,2,2,0,true,1,0,0,20,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Sudoku-s11c-alldiff,2,2,0,true,2,0,0,40,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Queens-0012-m1,2,2,0,true,3,2,0,2,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Queens-0012-m1,2,2,0,true,2,1,0,2,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Queens-0012-m1,2,2,0,true,1,1,0,4,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Queens-0012-m1,2,2,0,true,2,1,0,4,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Queens-0012-m1,2,2,0,true,2,1,0,6,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Queens-0012-m1,2,2,0,true,2,1,0,8,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Queens-0012-m1,2,2,0,true,2,1,0,8,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Queens-0012-m1,2,2,0,true,2,1,0,12,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train_test/Queens-0012-m1,2,2,0,true,3,1,0,24,0.90
