Instance,Nodes,Failures,Solutions,Completed,TotalExecutionTimeMillis,JavaExecutionTimeMillis,PythonAIExecutionTimeMillis,NumberOfCallsToPropagate,Threshold
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,2,2,0,true,74,62,9,10,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,2,2,0,true,8,4,3,9,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,2,2,0,true,8,4,3,10,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,2,2,0,true,45,4,33,34,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,2,2,0,true,31,3,19,40,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,2,2,0,true,33,3,24,38,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,2,2,0,true,25,2,19,38,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,2,2,0,true,60,2,46,40,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,2,2,0,true,34,2,25,40,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Queens-0012-m1,1560398,766529,13671,true,2338630,61167,2028013,4370994,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Queens-0012-m1,1576948,774368,14107,true,2372106,61834,2060610,4416932,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Queens-0012-m1,1578754,775246,14132,true,2283238,60447,1979401,4422159,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Queens-0012-m1,1579822,775757,14155,true,2277804,60291,1971977,4423153,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Queens-0012-m1,1581026,776342,14172,true,2272440,60448,1970232,4426214,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Queens-0012-m1,1581822,776731,14181,true,2312380,61348,2003925,4427179,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Queens-0012-m1,1583252,777446,14181,true,2273335,60289,1970498,4425362,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Queens-0012-m1,1583804,777714,14189,true,2320853,60886,2015363,4427389,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Queens-0012-m1,1589016,780313,14196,true,2327825,61201,2019266,4451363,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/AllInterval-006,1084,519,24,true,1572,27,1362,2648,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/AllInterval-006,1110,532,24,true,1312,20,1154,2703,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/AllInterval-006,1110,532,24,true,1288,19,1130,2709,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/AllInterval-006,1110,532,24,true,1293,20,1132,2709,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/AllInterval-006,1110,532,24,true,1311,20,1152,2709,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/AllInterval-006,1110,532,24,true,1380,21,1221,2709,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/AllInterval-006,1110,532,24,true,1273,19,1113,2709,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/AllInterval-006,1110,532,24,true,1289,20,1131,2709,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/AllInterval-006,1110,532,24,true,1268,19,1112,2709,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-086-sumdiff,2,2,0,true,11,1,8,19,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-086-sumdiff,2,2,0,true,40,1,34,74,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-086-sumdiff,2,2,0,true,38,1,33,71,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-086-sumdiff,8,5,0,true,91,2,81,195,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-086-sumdiff,8,5,0,true,66,1,57,179,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-086-sumdiff,8,5,0,true,72,2,62,194,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-086-sumdiff,8,5,0,true,80,1,70,194,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-086-sumdiff,8,5,0,true,72,2,62,201,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-086-sumdiff,16,9,0,true,123,2,107,328,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Alpha,200260,100131,0,true,384956,6359,328430,417649,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Alpha,142260,71131,0,true,277809,4535,237225,301962,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Alpha,142802,71402,0,true,280276,4581,239217,302812,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Alpha,143020,71511,0,true,279293,4558,238438,302710,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Alpha,143200,71601,0,true,281116,4567,239991,303141,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Alpha,143320,71661,0,true,281500,4613,240318,304222,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Alpha,143436,71719,0,true,278110,4537,237123,304269,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Alpha,143560,71781,0,true,281136,4586,240061,304398,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Alpha,143824,71913,0,true,276567,4534,235921,303943,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/KnightTour-06-ext03,18372,9185,2,true,36069,879,31006,58832,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/KnightTour-06-ext03,50274,25085,53,true,90440,2154,77931,157112,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/KnightTour-06-ext03,63772,31825,62,true,116960,2751,100860,200471,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/KnightTour-06-ext03,91434,45656,62,true,169904,3968,146568,289772,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/KnightTour-06-ext03,113932,56734,233,true,207406,4773,179162,357607,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/KnightTour-06-ext03,139772,69648,239,true,255860,5915,220833,443088,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/KnightTour-06-ext03,171498,85468,282,true,314562,7242,271773,542874,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/KnightTour-06-ext03,537574,268489,299,true,938206,22169,809452,1670237,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/KnightTour-06-ext03,1374854,686830,598,true,2465339,58717,2123934,4280944,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-062-sumdiff,2,2,0,true,22,1,18,39,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-062-sumdiff,2,2,0,true,36,1,30,70,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-062-sumdiff,2,2,0,true,39,1,34,68,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-062-sumdiff,2,2,0,true,43,1,37,90,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-062-sumdiff,2,2,0,true,39,1,34,84,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-062-sumdiff,2,2,0,true,48,1,43,84,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-062-sumdiff,4,3,0,true,48,1,41,101,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-062-sumdiff,4,3,0,true,46,1,40,102,0.80
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-hard-062-sumdiff,4,3,0,true,50,1,44,115,0.90
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-035-sumdiff,2,2,0,true,10,0,8,17,0.10
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-035-sumdiff,2,2,0,true,18,1,15,36,0.20
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-035-sumdiff,6,4,0,true,37,1,32,77,0.30
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-035-sumdiff,10,6,0,true,83,1,72,170,0.40
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-035-sumdiff,22,12,0,true,132,1,116,281,0.50
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-035-sumdiff,28,15,0,true,153,2,134,324,0.60
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-035-sumdiff,34,18,0,true,172,2,151,380,0.70
/home/users/c/d/cderuyck/java/filtered_xml_instances_train/Kakuro-medium-035-sumdiff,34,18,0,true,175,2,153,379,0.80
