Instance,Nodes,Failures,Solutions,Completed,ExecutionTime(ms),Threshold
/root/java/filtered_xml_instances_train/AllInterval-009,562356,281060,119,true,1017439,0.10
/root/java/filtered_xml_instances_train/AllInterval-009,564222,281993,119,true,1028022,0.20
/root/java/filtered_xml_instances_train/AllInterval-009,564408,282086,119,true,953679,0.30
/root/java/filtered_xml_instances_train/AllInterval-009,564614,282188,120,true,1055247,0.40
/root/java/filtered_xml_instances_train/AllInterval-009,564826,282294,120,true,968560,0.50
/root/java/filtered_xml_instances_train/AllInterval-009,566120,282941,120,true,964368,0.60
/root/java/filtered_xml_instances_train/AllInterval-009,566318,283040,120,true,1016359,0.70
/root/java/filtered_xml_instances_train/AllInterval-009,566978,283370,120,true,974906,0.80
/root/java/filtered_xml_instances_train/AllInterval-009,567666,283714,120,true,1090636,0.90
/root/java/filtered_xml_instances_train/Kakuro-hard-010-sumdiff,0,0,0,false,63,0.10
/root/java/filtered_xml_instances_train/Kakuro-hard-010-sumdiff,0,0,0,false,44,0.20
/root/java/filtered_xml_instances_train/Kakuro-hard-010-sumdiff,0,0,0,false,56,0.30
/root/java/filtered_xml_instances_train/Kakuro-hard-010-sumdiff,0,0,0,false,33,0.40
/root/java/filtered_xml_instances_train/Kakuro-hard-010-sumdiff,0,0,0,false,37,0.50
/root/java/filtered_xml_instances_train/Kakuro-hard-010-sumdiff,0,0,0,false,42,0.60
/root/java/filtered_xml_instances_train/Kakuro-hard-010-sumdiff,0,0,0,false,38,0.70
/root/java/filtered_xml_instances_train/Kakuro-hard-010-sumdiff,0,0,0,false,73,0.80
/root/java/filtered_xml_instances_train/Kakuro-hard-010-sumdiff,0,0,0,false,102,0.90
/root/java/filtered_xml_instances_train/Purdey,0,0,1,true,49,0.10
/root/java/filtered_xml_instances_train/Purdey,0,0,1,true,24,0.20
/root/java/filtered_xml_instances_train/Purdey,0,0,1,true,16,0.30
/root/java/filtered_xml_instances_train/Purdey,0,0,1,true,15,0.40
/root/java/filtered_xml_instances_train/Purdey,0,0,1,true,17,0.50
/root/java/filtered_xml_instances_train/Purdey,0,0,1,true,13,0.60
/root/java/filtered_xml_instances_train/Purdey,0,0,1,true,14,0.70
/root/java/filtered_xml_instances_train/Purdey,0,0,1,true,15,0.80
/root/java/filtered_xml_instances_train/Purdey,0,0,1,true,14,0.90
/root/java/filtered_xml_instances_train/Kakuro-medium-129-sumdiff,0,0,0,false,93,0.10
/root/java/filtered_xml_instances_train/Kakuro-medium-129-sumdiff,0,0,0,false,108,0.20
/root/java/filtered_xml_instances_train/Kakuro-medium-129-sumdiff,0,0,0,false,116,0.30
/root/java/filtered_xml_instances_train/Kakuro-medium-129-sumdiff,202,102,0,true,2812,0.40
/root/java/filtered_xml_instances_train/Kakuro-medium-129-sumdiff,526,264,0,true,5112,0.50
/root/java/filtered_xml_instances_train/Kakuro-medium-129-sumdiff,1042,522,0,true,9356,0.60
/root/java/filtered_xml_instances_train/Kakuro-medium-129-sumdiff,910,456,0,true,8297,0.70
/root/java/filtered_xml_instances_train/Kakuro-medium-129-sumdiff,2934,1468,0,true,23434,0.80
/root/java/filtered_xml_instances_train/Kakuro-medium-129-sumdiff,8734,4368,0,true,61045,0.90
/root/java/filtered_xml_instances_train/KnightTour-06-ext03,528626,259022,5292,true,1399465,0.10
/root/java/filtered_xml_instances_train/KnightTour-06-ext03,558610,274045,5261,true,1478614,0.20
/root/java/filtered_xml_instances_train/KnightTour-06-ext03,587842,288426,5496,true,1603522,0.30
/root/java/filtered_xml_instances_train/KnightTour-06-ext03,678618,333505,5805,true,1803619,0.40
/root/java/filtered_xml_instances_train/KnightTour-06-ext03,804236,394207,7912,true,2104728,0.50
/root/java/filtered_xml_instances_train/KnightTour-06-ext03,935604,459652,8151,true,2480806,0.60
/root/java/filtered_xml_instances_train/KnightTour-06-ext03,982070,482626,8410,true,2534613,0.70
/root/java/filtered_xml_instances_train/KnightTour-06-ext03,1127620,554904,8907,true,2954855,0.80
/root/java/filtered_xml_instances_train/KnightTour-06-ext03,2158274,1069773,9365,true,5284286,0.90
/root/java/filtered_xml_instances_train/Queens-0009-m1,10898,5100,350,true,18702,0.10
/root/java/filtered_xml_instances_train/Queens-0009-m1,10906,5104,350,true,18479,0.20
/root/java/filtered_xml_instances_train/Queens-0009-m1,10910,5106,350,true,18662,0.30
/root/java/filtered_xml_instances_train/Queens-0009-m1,10910,5106,350,true,18789,0.40
/root/java/filtered_xml_instances_train/Queens-0009-m1,10914,5108,350,true,18434,0.50
/root/java/filtered_xml_instances_train/Queens-0009-m1,10990,5146,350,true,18679,0.60
/root/java/filtered_xml_instances_train/Queens-0009-m1,10990,5146,350,true,18457,0.70
/root/java/filtered_xml_instances_train/Queens-0009-m1,10990,5144,352,true,18768,0.80
/root/java/filtered_xml_instances_train/Queens-0009-m1,10996,5147,352,true,19165,0.90
/root/java/filtered_xml_instances_train/Alpha,136552,68277,0,true,392203,0.10
/root/java/filtered_xml_instances_train/Alpha,137388,68695,0,true,393552,0.20
/root/java/filtered_xml_instances_train/Alpha,137858,68930,0,true,395375,0.30
/root/java/filtered_xml_instances_train/Alpha,138302,69152,0,true,389048,0.40
/root/java/filtered_xml_instances_train/Alpha,95488,47745,0,true,284177,0.50
/root/java/filtered_xml_instances_train/Alpha,156844,78423,0,true,447578,0.60
/root/java/filtered_xml_instances_train/Alpha,156982,78492,0,true,449949,0.70
/root/java/filtered_xml_instances_train/Alpha,157160,78581,0,true,443233,0.80
/root/java/filtered_xml_instances_train/Alpha,157414,78708,0,true,452061,0.90
/root/java/filtered_xml_instances_train/Allergy,0,0,1,true,11,0.10
/root/java/filtered_xml_instances_train/Allergy,0,0,1,true,9,0.20
/root/java/filtered_xml_instances_train/Allergy,0,0,1,true,9,0.30
/root/java/filtered_xml_instances_train/Allergy,0,0,1,true,8,0.40
/root/java/filtered_xml_instances_train/Allergy,0,0,1,true,9,0.50
/root/java/filtered_xml_instances_train/Allergy,0,0,0,false,9,0.60
/root/java/filtered_xml_instances_train/Allergy,0,0,1,true,8,0.70
/root/java/filtered_xml_instances_train/Allergy,0,0,1,true,10,0.80
/root/java/filtered_xml_instances_train/Allergy,0,0,1,true,32,0.90
/root/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,0,0,0,false,24,0.10
/root/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,0,0,0,false,13,0.20
/root/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,0,0,0,false,12,0.30
/root/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,0,0,0,false,38,0.40
/root/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,0,0,0,false,14,0.50
/root/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,0,0,0,false,24,0.60
/root/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,0,0,0,false,17,0.70
/root/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,0,0,0,false,63,0.80
/root/java/filtered_xml_instances_train/Kakuro-hard-056-sumdiff,2,2,0,true,100,0.90
/root/java/filtered_xml_instances_train/Queens-0012-m1,1574010,773137,13869,true,3009239,0.10
/root/java/filtered_xml_instances_train/Queens-0012-m1,1575502,773782,13970,true,2980816,0.20
/root/java/filtered_xml_instances_train/Queens-0012-m1,1576208,774103,14002,true,2957889,0.30
/root/java/filtered_xml_instances_train/Queens-0012-m1,1576578,774273,14017,true,2957126,0.40
/root/java/filtered_xml_instances_train/Queens-0012-m1,1577492,774677,14070,true,2982846,0.50
/root/java/filtered_xml_instances_train/Queens-0012-m1,1581048,776435,14090,true,2955575,0.60
/root/java/filtered_xml_instances_train/Queens-0012-m1,1581272,776532,14105,true,2978131,0.70
/root/java/filtered_xml_instances_train/Queens-0012-m1,1582278,777005,14135,true,2899085,0.80
/root/java/filtered_xml_instances_train/Queens-0012-m1,1583340,777481,14190,true,2942696,0.90
/root/java/filtered_xml_instances_train/Kakuro-medium-035-sumdiff,0,0,0,false,82,0.10
/root/java/filtered_xml_instances_train/Kakuro-medium-035-sumdiff,0,0,0,false,52,0.20
/root/java/filtered_xml_instances_train/Kakuro-medium-035-sumdiff,0,0,0,false,37,0.30
/root/java/filtered_xml_instances_train/Kakuro-medium-035-sumdiff,0,0,0,false,37,0.40
/root/java/filtered_xml_instances_train/Kakuro-medium-035-sumdiff,0,0,0,false,25,0.50
/root/java/filtered_xml_instances_train/Kakuro-medium-035-sumdiff,0,0,0,false,24,0.60
/root/java/filtered_xml_instances_train/Kakuro-medium-035-sumdiff,0,0,0,false,24,0.70
/root/java/filtered_xml_instances_train/Kakuro-medium-035-sumdiff,0,0,0,false,26,0.80
/root/java/filtered_xml_instances_train/Kakuro-medium-035-sumdiff,172,87,0,true,1080,0.90
/root/java/filtered_xml_instances_train/Kakuro-hard-062-sumdiff,0,0,0,false,46,0.10
